	id	title	year	auth_id	doi	pmid	umi	journal_id	volume	issue	start_page	abstract	url	date_added	repeats	filename	nursauth	id_1	name	nurs	id_2	name_3	lastname	firstname	Exclude	title_use	abstract_mentions_count	complexity_mentions	complexity_title_use
290	291	2013: That Was The Year That Was.	2014	305	10.1093/ageing/aft215			161	43.0	2.0	152	In caring for older people, geriatricians have always adopted a multi-domain approach, and this article reflects on the diverse aspects covered by journals in general medicine, geriatric medicine and gerontology in 2013. Topics were selected that represented developing or controversial areas that are important to care of increasingly frail older people. These include the increasing use of single physical performance measures in assessment, optimal body mass index, assessment of frailty and sarcopenia, dementia, diabetes treatment goals, end-of-life care, management of complexity and design of health and social services to meet complexity. The increasingly important role of patient and carer engagement in management of disease and syndromes is highlighted. In particular, two eloquent articles from prominent physicians who have been experiencing the ageing process and demands of being a dementia carer provide a timely reminder of what the reality is in grappling with the inexorable decline that occurs with ageing, and caregiving as the central core to what medicine is all about. Looking towards the future, the potential of robotic technology, modifying the physical and social living environment in improving quality of care and quality of life is described.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=94516163&site=ehost-live	2021-07-02 01:29:55	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	161	Age & Ageing		305	woo,jean	woo	jean	Y	0.0	2.0	2.0	0.0
554	555	A Nurse-Led Interdisciplinary Primary Care Approach To Prevent Disability Among Community-Dwelling Frail Older People: A Large-Scale Process Evaluation	2013	670	10.1016/j.ijnurstu.2012.12.016	23384696	WOS:000322938400006	111	50.0	9.0	1184	Background: The complex healthcare needs of frail older people and their increased risk of disability require an integrated and proactive approach. In the Netherlands, an interdisciplinary primary care approach has recently been developed, involving individualized assessment and interventions (tailor-made care), case management and long-term follow-up. The practice nurse as part of a general practice is case manager and plans, organizes and monitors the care process and facilitates cooperation between professionals. The approach has shown positive indications regarding its feasibility in a small pilot, but its implementation on a large scale had not hitherto been investigated. Objectives: To examine the extent to which the interdisciplinary care approach is implemented as planned and to gain insight into healthcare professionals' and frail older people's experiences regarding the benefits, burden, stimulating factors and barriers. Design: A process evaluation was conducted using a mixed methods design. Settings: Six GP practices in the south of the Netherlands. Participants: Practice nurses (n = 7), GPs (n = 12), occupational therapists (n = 6) and physical therapists (n = 20) participated in the process evaluation. Furthermore, 194 community-dwelling frail older people (>= 70 years) were included using the Groningen Frailty Indicator. People who were terminally ill, were confined to bed, had severe cognitive or psychological impairments or were unable to communicate in Dutch were excluded. Methods: Quantitative data (logbooks and evaluation forms) were collected from all the participating frail older people and 13 semi-structured interviews with a selection of them were conducted. In addition, data from healthcare professionals were collected through 12 semi-structured interviews and four focus group discussions. Results: Although some parts of the protocol were insufficiently executed, healthcare professionals and frail older people were satisfied with the care approach, as it provided a useful structure for the delivery of geriatric primary care and increased the attention to preventive treatment. Frail older people felt acknowledged by healthcare professionals and experienced support in handling their problems and fulfilling their wishes. Conclusions: The findings of the study revealed several positive aspects of the interdisciplinary primary care approach. Given its complexity, the implementation of the nurse-led interdisciplinary care approach is challenging and some parts of the protocol need special attention. (C) 2013 Elsevier Ltd. All rights reserved.		2021-07-02 01:31:14	2	complexityorcomplextiorabandallaging_onlynursing_2021.06.24.xls	1.0	111	International Journal Of Nursing Studies	1.0	670	metzelthin,silke f	metzelthin	silke f		0.0	2.0	1.0	0.0
202	203	Health Promotion For Mild Frailty Based On Behaviour Change: Perceptions Of Older People And Service Providers.	2019	205	10.1111/hsc.12781			18	27.0	5.0	1333	Mild frailty is common among older people, but it is potentially reversible with health promotion interventions. Behaviour change may be a key to preventing progression of frailty; however, we know little about what interventions work best and how a behaviour change approach would be perceived by this group. The aim of this study was to explore how mildly frail older people perceive health promotion based on behaviour change and what factors affect engagement with this approach. We conducted semiâ€structured interviews with 16 older people with mild frailty who received a pilot homeâ€based behaviour change health promotion service, including a dyad of older person/family carer, and two service providers delivering the service in two diverse areas of South England. Interviews were audioâ€recorded, transcribed and thematically analysed. The concept of goal setting was acceptable to most participants, though the process of goal setting needed time and consideration. Goals on maintaining independence, monitoring of progress and receiving feedback were reported to increase motivation. Physical/mental capability and knowledge/perception of own needs were main determinants of the type of goals chosen by participants as well as the approach used by the project workers. Older people with complex needs benefited from care coordination, with a combination of goal setting and elements of social, practical and emotional support in varying proportions. Mildly frail older people responded well to a behaviour change approach to promote health and wellâ€being. Further consideration is needed of the most effective strategies based on complexity of needs, and how to overcome barriers among people with cognitive impairment.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=138203873&site=ehost-live	2021-07-02 01:29:53	1	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	18	Health & Social Care in the Community	1.0	205	avgerinou,christina	avgerinou	christina		0.0	2.0	1.0	0.0
638	639	The Complexity Of Pain In Aged Care.	2018	893	10.1080/10376178.2018.1480399			893	54.0	2.0	121	Older people living in residential aged care often experience complex persistent pain because of the presence of multiple comorbidities and geriatric syndrome. Complex persistent pain is associated with physical, psychological and emotional burdens. All of these factors can result in existential suffering. Current pain management in aged care is targeted at passive strategies. More consideration needs to be given to how assessment and management of pain in this population can be improved, using a biopsychosocial model, to decrease unnecessary suffering.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=130946022&site=ehost-live	2021-07-02 01:33:25	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	893	Contemporary Nurse: A Journal for the Australian Nursing Profession	1.0	893	holloway,helen	holloway	helen		1.0	2.0	0.0	1.0
333	334	Which Patients Benefit The Most From A Geriatrician'S Care? Consensus Among Directors Of Geriatrics Academic Programs.	2008	356	10.1111/j.1532-5415.2008.01940.x			144	56.0	10.0	1796	Given the anticipated limited availability of geriatricians for the foreseeable future, how should the geriatrician's specialized clinical skills be deployed to optimally benefit the health of our aging population? Directors of geriatrics academic programs (DGAPs) at all 145 U.S. allopathic and osteopathic medical schools were asked this question as part of a winter 2007 on-line survey. The DGAPs were to indicate the types of patients who would most benefit from a geriatrician's services in three practice situations: primary care, consultations, and care in the hospital. The survey response rate was 74.5%. There was high consensus among the DGAPs on the benefits of having a geriatrician care for the most complex and vulnerable older adults in primary care and hospital settings. There was slightly less consensus as to when geriatrics consultations are beneficial. The patient subsets that were viewed as benefiting the most from geriatrician care were aged 85 and older, frailty, geriatric syndromes, severe functional impairment, and complexity. The results of this survey suggest that, because of the predicted shortage of geriatricians, the DGAPs would target geriatricians to work with the most vulnerable older adults. These findings offer the beginning of a consensus statement as to the role of geriatricians in the continuum of American medical care.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=34571692&site=ehost-live	2021-07-02 01:29:56	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	144	Journal of the American Geriatrics Society		356	warshaw,gregg.a	warshaw	gregg.a	Y	0.0	2.0	1.0	0.0
640	641	Visiting Nursesâ€™ Posthospital Medication Management In Home Health Care: An Ethnographic Study.	2018	898	10.1111/scs.12451			170	32.0	1.0	222	Background: Medication management is the most challenging component of a successful transition from hospital to home, a challenge of growing complexity as the number of older persons living with chronic conditions grows, along with increasingly specialised and accelerated hospital treatment plans. Thus, many patients are discharged with complex medication regimen instructions, accentuating the risk of medication errors that may cause readmission, adverse drug events and a need for further health care. Aim: The aim of this study was to explore visiting nursesâ€™ medication management in home health care after hospital discharge and to identify key elements in patient medication for improved patient safety. Method: Inspired by the ethnographic research cycle, participant observations and informal interviews were conducted at 12 initial visits by a nurse in a patient's home after hospital discharge. Data consisted of field notes and photographs from the patientsâ€™ homes, medication lists and medical records. Field notes were analysed in four steps. Findings: The analysis showed 12 stages in medication management in which nurses strove to adjust medication management to the patientsâ€™ actual health status by <italic>mediating</italic> on knowledge of the patient, information to the patient and on rules and regulations and by <italic>establishing order</italic> in medication lists and medications in the home. Conclusion: The nurseâ€“patient relationship, the integration of care and the context of care challenged patient safety in visiting nursesâ€™ medication management in patientsâ€™ homes after hospital discharge. The implications for practice were the following: to ensure nursesâ€™ opportunities to continuously evolve their observation skills and skills in making sound clinical judgements; to establish interprofessional working processes which support the continuous assessment of patientsâ€™ needs and the adjustment of care and treatment; to clarify expectations to nursesâ€™ responsibility and patientsâ€™ privacy.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=128262548&site=ehost-live	2021-07-02 01:33:25	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	170	Scandinavian Journal of Caring Sciences	1.0	898	kollerup,mette.geil	kollerup	mette.geil		0.0	2.0	1.0	0.0
665	666	Professional Caregivers' Work With The Dying In Nursing Homes - A Foucault-Inspired Analysis Of Discourses In The Last Decade In A Danish Context.	2013	951	10.1111/scs.12021	NLM23336738		170	27.0	4.0	983	International studies on the death of elderly nursing home residents show the complexity in the understanding of the professionals who care for the dying. The aim of this study is to explore the discourses about professional caregivers caring for those dying in Denmark in the last decade. A discourse analysis inspired by Foucault was constructed. The material consists of different source documents: research articles, newspaper articles, theses, books, websites - 35 sources in total. There are constructed six positions of speech, five discourses and three themes: (1) 'the work of the professional caregivers - a complex low-status work'; (2) 'the education of the professionals - the way to ensure a good death or possessing the right qualifications' and (3) 'the vulnerable professionals'. The study concludes that an economical/political discourse is dominating and sets up the frames within which the professionals care for dying residents, although the medical, the social/critical and the religious discourses attempt to speak against it. All positions articulate that the professional caregivers' job has a low status and that it is not possible to provide an optimal care due to lack of time, resources and education. Psychical or mental demands make the professionals vulnerable. The meaning of optimal care varies according to the positions of speech.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=104147763&site=ehost-live	2021-07-02 01:33:26	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	1.0	170	Scandinavian Journal of Caring Sciences	1.0	951	nielsen,karen.t	nielsen	karen.t		0.0	2.0	1.0	0.0
68	69	Frailty: A Review Of The First Decade Of Research.	2013	70	10.1177/1099800412462866	23086382		44	15.0	4.0	422	Frailty is an emerging geriatric syndrome that refers to a state of increased vulnerability to adverse events including mortality, morbidity, disability, hospitalization, and nursing home admission. Despite its long conceptual and operational history in research and publications, frailty and mechanisms of frailty development are still poorly understood. In this review, we describe a number of conceptual models-reliability, allostatic load, and complexity-that have been put forward to explain the dynamic nature of frailty. We illustrate a consolidated pathophysiological model of frailty, taking into consideration the large and exponentially growing body of studies regarding predictors, indicators, and outcomes of frailty. The model addresses cellular (e.g., oxidative damage and telomere length) and systemic mechanisms (e.g., endocrinal, inflammatory, coagulatory, and metabolic deficiencies) of frailty, moderating or risk factors (e.g., ethnicity, lifestyle, and comorbidities), and outcomes (morbidity, disability, and cognitive decline). Finally, we identify the weaknesses of traditional epidemiological approaches for studying complex phenomena related to frailty and propose areas for future methodological and physiological inquiry.		2021-07-02 01:27:51	3	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	44	Biological Research For Nursing	1.0	70	zaslavsky,oleg	Zaslavsky	Oleg		0.0	2.0	1.0	0.0
66	67	Translating Evidence-Based Protocols Into The Home Healthcare Setting.	2017	68	10.1097/NHH.0000000000000486	28157776		68	35.0	2.0	105	Activity-limiting pain is common among older home care patients and pain management is complicated by the high prevalence of physical frailty and multimorbidity in the home care population. A comparative effectiveness study was undertaken at a large urban home care agency to examine an evidence-based pain self-management program delivered by physical therapists (PTs). This article focuses on PT training, methods implemented to reinforce content after training and to encourage uptake of the program with appropriate patients, and therapists' fidelity to the program. Seventeen physical therapy teams were included in the cluster randomized controlled trial, with 8 teams (155 PTs) assigned to a control and 9 teams (165 PTs) assigned to a treatment arm. Treatment therapists received interactive training over two sessions, with a follow-up session 6 months later. Additional support was provided via emails, e-learning materials including videos, and a therapist manual. Program fidelity was assessed by examining PT pain documentation in the agency's electronic health record. PT feedback on the program was obtained via semistructured surveys. There were no between-group differences in the number of PTs documenting program elements with the exception of instruction in the use of imagery, which was documented by a higher percentage of intervention therapists (p = 0.002). PTs felt comfortable teaching the program elements, but cited time as the biggest barrier to implementing the protocol. Possible explanations for study results suggesting limited adherence to the program protocol by intervention-group PTs include the top-down implementation strategy, competing organizational priorities, program complexity, competing patient priorities, and inadequate patient buy-in. Implications for the implementation of complex new programs in the home healthcare setting are discussed.		2021-07-02 01:27:51	1	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	68	Home Healthcare Now	1.0	68	beissner,katherine.l	Beissner	Katherine L		0.0	2.0	1.0	0.0
367	368	Rehabilitation For Elderly Patients With Cancer Asthenia: Making A Transition To Palliative Care.	2000	393	10.1191/026921600666299204			139	14.0	2.0	121	The transition from curative to palliative care for elderly patients with cancer-related asthenia presents complex challenges to oncologists. A result of this complexity is a lack of regard for the maintenance of physical and mental function. This study examined the effects of comprehensive, multidisciplinary, inpatient rehabilitation on the physical and mental function of elderly cancer patients with asthenia. We found that both physical and mental function improved following inpatient rehabilitation. However, it is difficult to predict which patients benefit most from rehabilitation. Nevertheless, functional improvement following rehabilitation may allow medical caregivers to better distribute the type and intensity of care, and reduce the caregiver burden experienced by family members in the home.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=hch&AN=3113311&site=ehost-live	2021-07-02 01:29:57	0	HSNallagingandolderpatientsandcomplexityorcomplexandfrail_2021.06.24.xml	0.0	139	Palliative Medicine		393	scialla,s	scialla	s	Y	0.0	2.0	1.0	0.0
699	700	Family, Caring And Ageing In The United Kingdom.	2005	1020		NLM15737166		170	19.0	1.0	53	This paper provides a critical exploration of the assumptions and narratives underpinning the development of social policy initiatives targeting caring relationships based upon family ties. Using a narrative approach attention is drawn to the ways in which family identities are open to a far greater range of negotiation than is assumed by policy. Drawing on the United Kingdom as a case example, questions are posed about intergenerational relations and the nature of late life citizenship. The comparatively recent invention of narratives supporting 'informal care' and the link with neo-liberal and 'third way' notions of active citizenship are explored. As is the failure of policy developments to take into account the diversity of care giving styles and the complexity of caring relationships. It is argued that the uneven and locally specific ways in which policy develops enables the co-existence of a complex range of narratives about family, caring and ageing which address diverse aspects of the family life of older people in often contradictory ways.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=106624348&site=ehost-live	2021-07-02 01:33:27	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	170	Scandinavian Journal of Caring Sciences	1.0	1020	gilbert,t	gilbert	t		0.0	2.0	1.0	0.0
25	26	Are Edentulousness, Oral Health Problems And Poor Health-Related Quality Of Life Associated With Malnutrition In Community-Dwelling Elderly (Aged 75 Years And Over)? A Cross-Sectional Study.	2018	26	10.3390/nu10121965	30545100		26	10.0	12.0	None	As the population ages, the risk of becoming malnourished increases. Research has shown that poor oral health can be a risk factor for malnutrition in institutionalized elderly. However, it remains unclear whether oral health problems, edentulousness and health-related quality of life also pose a risk for malnutrition in community-dwelling older adults. In this cross-sectional observational study, 1325 community-living elderly (â‰¥75 years) were asked to complete questionnaires regarding nutritional status, oral status (edentulous, remaining teeth, or implant-supported overdentures), oral health problems, health-related quality of life (HRQoL), frailty, activities of daily living (ADL) and complexity of care needs. Univariate and multivariate logistic regression analyses were performed with nutritional status as dependent variable. Of the respondents, 51% (n = 521) were edentulous, 38.8% (n = 397) had remaining teeth and 10.2% (n = 104) had an implant-supported overdenture. Elderly with complex care needs were malnourished most frequently, followed by frail and robust elderly (10%, 4.5% and 2.9%, respectively). Malnourished elderly reported more frequent problems with chewing and speech when compared with well-nourished elderly (univariate analysis). However, multivariate analysis did not show an association between malnutrition and oral health problems and edentulousness, although HRQoL was associated with malnutrition (odds ratio (OR) 0.972, confidence interval (CI) 0.951â»0.955). Based on the results of this cross-sectional study, it can be concluded that poor HRQoL is significantly associated with malnutrition; however, edentulousness and oral health problems are not.		2021-07-02 01:27:51	1	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	26	Nutrients		26	bakker,mieke.h	Bakker	Mieke H		0.0	2.0	1.0	0.0
18	19	The Diversity And Complexity In Health Promotion And Empowerment Related To Older Hospital Patients -- Exploring Nurses' Reflections.	2010	19	10.1177/010740831003000103			19	30.0	1.0	9	Background: In the future, health care services will be challenged by an increasing number of older hospital patients. This prompts a need to focus on and implement a health promoting approach in older people's nursing. Aim: The aim of this exploratory study was to illuminate nurses' reflections about health promotion and empowerment related to older hospital patients. Method: The study had a qualitative descriptive design. The concepts of health, health promotion and empowerment were initially introduced to nurses before participating in multistage focus group interviews. Two groups of nurses participated in three focus group interviews that were conducted by a moderator and an assistant. The interviews were tape-recorded, transcribed verbatim and analysed with qualitative content analysis. Findings: The nurses unfolded the theme Â«diversity and complexity marks health promotion and empowerment related to older hospital patients Â» as the latent content in the text. Two categories, Â«empowerment as balance of power - a twofold relationÂ» and Â«focusing on the individual personÂ», described the manifest content in the texts. The categories were further supported by sub-categories. Conclusion: The focus group interviews showed the ambiguity and complexity in the interpretation of the concepts -- health promotion and empowerment -- related to the older hospital patient. The findings also indicated that multistage focus group interviews may be a useful tool to develop nurses ' reflections about their clinical practice.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=105028797&site=ehost-live	2021-07-02 01:27:05	1	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1.0	19	Nordic Journal of Nursing Research & Clinical Studies / VÃ¥rd i Norden	1.0	19	berg,gv	berg	gv		1.0	2.0	2.0	1.0
17	18	It'S Not Just About Heart Failure -- Voices Of Older People In Transition To Dependence And Death.	2010	18	10.1111/j.1365-2524.2009.00892.x			18	18.0	2.0	199	This paper explores the experiences of older people living with heart failure and their transitions from independence to dependence and for some death. New Zealand's ageing population is predicted to increase from 12% in 2001 to 25% by the year 2051, similar to the worldwide trend of ageing. A high proportion of these people will have one or more chronic illnesses. Associated with the increase in survival is a growing body of research examining the needs of the older person with heart failure and finding particular problems with end of life care. Older people face many challenges in living with their heart failure, in particular the transition to dependence. To study the transition a longitudinal qualitative study using General Inductive approach was used. Participants were interviewed every 3 months for a 12-month period during 2006-2008. A total of 79 interviews with 25 people were completed. Our findings showed that transition was not a simple linear process with the older person moving from one phase to another; instead their experiences illustrated the complexity of transitions they faced and what helped them to manage these. The older people in this study illustrated the importance of trust in health professionals and believed they would receive good care. Their fears revealed concerns about being a burden as they deteriorate and becoming more dependent. Understanding the complex issues related to transition to dependence can provide health professionals with a framework for assessment and approaches to providing the support required.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=105306456&site=ehost-live	2021-07-02 01:27:05	1	MHallagingandcomplexityorcomplexandfrail_nurseauth_2021.06.23.xml	1.0	18	Health & Social Care in the Community	1.0	18	waterworth,s	waterworth	s		0.0	2.0	1.0	0.0
398	399	The Relationship Between Gait Dynamics And Future Cognitive Decline: A Prospective Pilot Study In Geriatric Patients	2018	424	 10.1017/S1041610217002770			424	30.0	9.0	1301.0	Background: Walking ability recently emerged as a sub-clinical marker of cognitive decline. Hence, the relationship between baseline gait and future cognitive decline was examined in geriatric patients. Because a â€œloss of complexityâ€ (LOC) is a key phenomenon of the aging process that exhibits in multiple systems, we propose the idea that age- and cognition-related LOC may also become manifested in gait function. The LOC theory suggests that even healthy aging is associated with a (neuro)physiological breakdown of system elements that causes a decline in variability and an overall LOC. We used coordination dynamics as a conceptual framework and hypothesized that a LOC is reflected in dynamic gait outcomes (e.g. gait regularity, complexity, stability) and that such outcomes could increase the specificity of the gait-cognition link. Methods: 19 geriatric patients (age 80.0Â±5.8) were followed for 14.4 Â± 6.6 months. An iPod collected three-dimensional (3D) trunk accelerations while patients walked for 3 minutes. Cognition was evaluated with the Mini-Mental State Examination (MMSE) and the Seven-Minute screen (7 MS) test. The Reliable Change Index (RCI) quantified the magnitude of cognitive change. Spearman's Rho coefficients (Ï) indexed correlations between baseline gait and future cognitive change. Results: Seven patients showed reliable cognitive decline (â€œCognitive Declineâ€ group), and 12 patients remained cognitively stable (â€œCognitive Stableâ€ group) over time. Future cognitive decline was correlated with a more regular (Ï = 0.579*) and predictable (Ï = 0.486*) gait pattern, but not with gait speed. Conclusions: The increase in gait regularity and predictability possibly reflects a LOC due to age- and cognition-related (neuro)physiological decline. Because dynamic versus traditional gait outcomes (i.e. gait speed and (variability of) stride time) were more strongly correlated with future cognitive decline, the use of wearable sensors in predicting and monitoring cognitive and physical health in vulnerable geriatric patients can be considered promising. However, our results are preliminary and do require replication in larger cohorts. (PsycINFO Database Record (c) 2019 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/relationship-between-gait-dynamics-future/docview/1976694799/se-2?accountid=14902	2021-07-02 01:30:38	0	ProQuestallagingandcomplexityorcomplexandfrail_2021-06-23.xls		424	International Psychogeriatrics		424	kikkert,,lisettehj	kikkert,	lisettehj	Y	0.0	2.0	2.0	0.0
721	722	Circles Of Care: Home Care And Community Support For Rural Older Adults.	1994	704		NLM8203828		1044	16.0	3.0	22	Rural dwelling, frail older adults are a vulnerable population owing to the complexity of health problems superimposed upon limited health care resources. Home care facilitates managing complex health needs and is congruent with rural valued independence. An ethnography was conducted to describe rural home care for frail older adults from the perspective of those delivering and receiving services. A major theme identified was 'Circles of Care.' Grounded in rural culture, the circles assisted the system of formal care to work in harmony with informal care, maintaining independence for vulnerable rural elderly and their families.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=107443078&site=ehost-live	2021-07-02 01:33:27	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	1044	Advances in Nursing Science	1.0	704	magilvy,jk	magilvy	jk	Y	0.0	2.0	1.0	0.0
654	655	Lifetime Occupation And Late-Life Cognitive Performance Among Women.	2015	925	10.1080/07399332.2015.1083027	NLM26291386		925	36.0	12.0	1346	We examined whether women who had regular jobs throughout life performed better cognitively than older adult housewives. Linear regression was used to compare global cognitive performance scores of housewives (G1) and women exposed to work of low (G2) and high (G3) complexity. The sample comprised 477 older adult Brazilian women, 430 (90.4%) of whom had performed lifelong jobs. In work with data, the G2 group's cognitive performance scores were 1.73 points higher (p =.03), and the G3 group scored 1.76 points (p =.02) higher, than the G1. In work with things and with people, the G3 scored, respectively, 2.04 (p <.01) and 2.21 (p <.01) cognitive test points higher than the G1. Based on our findings we suggest occupation of greater complexity is associated with better cognitive performance in women later in life.	http://www.systems.wsu.edu/scripts/wsuall.pl?url=https://search.ebscohost.com/login.aspx?direct=true&db=ccm&AN=111070163&site=ehost-live	2021-07-02 01:33:25	0	Mhallagingandcomplexityorcomplexandfrail_nursjournals_2021.06.23.xml	0.0	925	Health Care for Women International	1.0	925	ribeiro,pricila.cristina.correa	ribeiro	pricila.cristina.correa		0.0	2.0	2.0	0.0
439	440	Intentional Non-Adherence To Medications By Older Adults	2014	471	 10.1007/s40266-014-0153-9			471	31.0	3.0	149.0	The extent to which an individualâ€™s medication-taking behaviour and/or execution of lifestyle changes, corresponds with agreed recommendations from a healthcare providerâ€™, is a highly complex behaviour, defined as adherence. However, intentional non-adherence is regularly observed and results in negative outcomes for patients along with increased healthcare provision costs. Whilst this is a consistent issue amongst adults of all ages, the burden of chronic disease is greatest amongst older adults. As a result, the absolute prevalence of intentional non-adherence is increased in this population. This non-systematic review of intentional non-adherence to medication highlights the extent of the problem amongst older adults. It notes that age, per se, is not a contributory factor in intentionally nonadherent behaviours. Moreover, it describes the difference in methodology required to identify such behaviours in contrast to reports of non-adherence in general: the use of focus groups, semi-structured, one-to-one interviews and questionnaires as opposed to pill counts, electronic medication monitors and analysis of prescription refill rates. Using Leventhalâ€™s Common-Sense Model of Self-Regulation, it emphasizes six key factors that may contribute to intentional non-adherence amongst older adults: illness beliefs, the perceived risks (e.g. dependence, adverse effects), benefits and necessity of potential treatments, the patientâ€“practitioner relationship, inter-current physical and mental illnesses, financial constraints and pharmaceutical/pharmacological issues (poly-pharmacy/regimen complexity). It describes the current evidence for each of these aspects and notes the paucity of data validating Leventhalâ€™s model in this regard. It also reports on interventions that may address these issues and explicitly acknowledges the lack of evidence-based interventions available to healthcare practitioners. As a result, it highlights five key areas that require urgent research amongst older adults: (1) the overlap between intentional and unintentional non-adherence, particularly amongst those who may be frail or isolated; (2) the potential correlation between symptomatic benefit and intentional vs. unintentional non-adherence to medication; (3) an evaluation of the source of prescribing (i.e. a long-standing provider vs. an acute episode of care) and the patientâ€“prescriber relationship as determinants of intentional and unintentional non-adherence; (4) the decision-making processes leading to selective intentional nonadherence amongst older adults with multiple medical problems; and (5) the development and evaluation of interventions designed to reduce intentional non-adherence, specifically addressing each of the aspects listed above. (PsycINFO Database Record (c) 2016 APA, all rights reserved) (Source: journal abstract)	https://www.proquest.com/scholarly-journals/intentional-non-adherence-medications-older/docview/1544981102/se-2?accountid=14902	2021-07-02 01:30:39	0	ProQuestallagingandcomplexityorcomplexandfrail_2021-06-23.xls		471	Drugs & Aging		471	mukhtar,,omar	mukhtar,	omar	Y	0.0	2.0	1.0	0.0
87	88	Older Women, Intimate Partner Violence And Mental Health: A Consideration Of The Particular Issues For Health And Healthcare Practice.	2017	89	10.1111/jocn.13490	27487083		34	26.0		2177	AIMS AND OBJECTIVES: To explore qualitative evidence in older women with a history of intimate partner violence and their accounts and experiences of mental health. BACKGROUND: Intimate partner violence significantly impacts the health and well-being of women who experience it. However, women who experience intimate partner violence do not form a homogenous group and the effect on older women has not been adequately distinguished. While there is a growing body of evidence to address this deficit, studies to date have tended to concentrate on older women's experiences of intimate partner violence in totality and as such mental health issues have been subsumed as a part of the whole. DESIGN: Meta-ethnographic synthesis of qualitative evidence. METHODS: A systematic search of PUBMED, Cumulative Index to Nursing and Allied Health Literature, COCHRANE, Medline and PsycInfo, Sci was completed. The search included articles published up until the end of December 2015. RESULTS: The review identified that intimate partner violence exerts a significant impact on the mental health of older women. Intimate partner violence for women in later life is inherently complex, especially where the boundaries of violence and vulnerability have been blurred historically both within the intimate partner violence discourse and through provision and practice. CONCLUSIONS: This study adds to the developing knowledge and understanding of intimate partner violence for older women as a part of the growing body of evidence of the impact of intimate partner violence on the health and well-being of those who experience abuse more generally. When age and gender intersect with intimate partner violence, there are specific implications and health professionals and service providers need to be aware of these. RELEVANCE TO CLINICAL PRACTICE: urses and healthcare professionals are professionally accountable for the effective management and support of women who have experienced abuse. It is therefore crucial that they are able to understand and identify the possible complexity of presentations of abuse and this includes older women.		2021-07-02 01:27:52	1	pubmed-frailtyMeS-complexorcomplexity-allaging-_2021.06.24.txt	1.0	34	Journal Of Clinical Nursing	1.0	89	mcgarry,julie	McGarry	Julie		0.0	2.0	1.0	0.0
